INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070911,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,69,,2018-09-03 18:30:00,2018,9,Monday,18,Part Three,BEACON ST,42.35564426,-71.07168077,"(42.35564426, -71.07168077)"
I182070910,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,,2018-09-03 18:42:00,2018,9,Monday,18,Part Three,CAPEN ST,42.28340243,-71.08079740,"(42.28340243, -71.08079740)"
I182070909,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,550,,2018-09-03 18:33:00,2018,9,Monday,18,Part Three,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)"
I182070908,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,2018-09-03 18:38:00,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I182070906,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,2018-09-03 18:20:00,2018,9,Monday,18,Part Three,,42.28359328,-71.05565683,"(42.28359328, -71.05565683)"
I182070905,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,172,,2018-09-03 18:50:00,2018,9,Monday,18,Part Three,MASSACHUSETTS AVE,42.33311189,-71.07276370,"(42.33311189, -71.07276370)"
I182070904,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,242,,2018-09-03 18:34:00,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
I182070904,02007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,242,,2018-09-03 18:34:00,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
I182070903,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,463,,2018-09-03 18:55:00,2018,9,Monday,18,Part Two,BLUE HILL AVE,42.29590385,-71.08773294,"(42.29590385, -71.08773294)"
I182070901,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,428,,2018-09-03 18:41:00,2018,9,Monday,18,Part Two,CLARKWOOD ST,42.28013735,-71.09079826,"(42.28013735, -71.09079826)"
I182070900,02629,Harassment,HARASSMENT,B3,464,,2018-09-03 18:17:00,2018,9,Monday,18,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I182070898,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-03 19:11:00,2018,9,Monday,19,Part Two,SALISBURY PARK,42.29928376,-71.05917200,"(42.29928376, -71.05917200)"
I182070897,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,,2018-09-03 18:37:00,2018,9,Monday,18,Part Two,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)"
I182070895,03207,Property Found,PROPERTY - FOUND,A7,30,,2018-09-03 16:43:00,2018,9,Monday,16,Part Three,COTTAGE ST,42.36742605,-71.03547266,"(42.36742605, -71.03547266)"
I182070893,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,,2018-09-03 18:44:00,2018,9,Monday,18,Part One,WILMORE ST,42.27796370,-71.09246318,"(42.27796370, -71.09246318)"
I182070892,00613,Larceny,LARCENY SHOPLIFTING,B2,276,,2018-09-03 17:54:00,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)"
I182070891,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E13,303,,2018-09-02 20:04:00,2018,9,Sunday,20,Part Three,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)"
I182070890,02612,Fire Related Reports,FIRE REPORT/ALARM - FALSE,B3,432,,2018-09-03 18:17:00,2018,9,Monday,18,Part Two,CALLENDER ST,42.28848287,-71.08259001,"(42.28848287, -71.08259001)"
I182070889,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,, ,,2018-09-03 18:05:00,2018,9,Monday,18,Part Two,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
I182070889,03125,Warrant Arrests,WARRANT ARREST,, ,,2018-09-03 18:05:00,2018,9,Monday,18,Part Three,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
I182070889,01841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,, ,,2018-09-03 18:05:00,2018,9,Monday,18,Part Two,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
I182070888,00301,Robbery,ROBBERY - STREET,A1,76,,2018-09-03 15:45:00,2018,9,Monday,15,Part One,,,,"(0.00000000, 0.00000000)"
I182070887,01402,Vandalism,VANDALISM,D4,149,,2018-09-01 12:00:00,2018,9,Saturday,12,Part Two,W NEWTON ST,42.34385799,-71.07953502,"(42.34385799, -71.07953502)"
I182070886,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,C11,402,,2018-09-03 15:34:00,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28492596,-71.07135254,"(42.28492596, -71.07135254)"
I182070885,00619,Larceny,LARCENY ALL OTHERS,B3,456,,2018-09-03 17:17:00,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
I182070882,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,901,,2018-09-03 15:00:00,2018,9,Monday,15,Part Three,WARD ST,42.33511145,-71.09592156,"(42.33511145, -71.09592156)"
I182070881,01402,Vandalism,VANDALISM,C11,356,,2018-09-03 15:00:00,2018,9,Monday,15,Part Two,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I182070880,03018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,116,,2018-09-03 17:09:00,2018,9,Monday,17,Part Three,BEACH ST,42.35108400,-71.05939500,"(42.35108400, -71.05939500)"
I182070879,03301,Verbal Disputes,VERBAL DISPUTE,B3,441,,2018-09-03 16:04:00,2018,9,Monday,16,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I182070877,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,562,,2018-09-03 15:00:00,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I182070876,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,244,,2018-09-03 16:21:00,2018,9,Monday,16,Part Three,E COTTAGE ST,42.31866067,-71.05881776,"(42.31866067, -71.05881776)"
I182070875,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,116,,2018-09-03 16:55:00,2018,9,Monday,16,Part Two,BEACH ST,42.35108400,-71.05939500,"(42.35108400, -71.05939500)"
I182070875,02405,Disorderly Conduct,DISORDERLY CONDUCT,A1,116,,2018-09-03 16:55:00,2018,9,Monday,16,Part Two,BEACH ST,42.35108400,-71.05939500,"(42.35108400, -71.05939500)"
I182070874,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,,2018-09-03 16:00:00,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182070873,03625,Other,DANGEROUS OR HAZARDOUS CONDITION,B2,327,,2018-09-03 15:38:00,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.07427080,"(42.31368925, -71.07427080)"
I182070873,03106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,B2,327,,2018-09-03 15:38:00,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.07427080,"(42.31368925, -71.07427080)"
I182070872,01402,Vandalism,VANDALISM,C6,205,,2018-08-31 17:00:00,2018,8,Friday,17,Part Two,A ST,42.34754258,-71.05066210,"(42.34754258, -71.05066210)"
I182070871,03501,Missing Person Reported,MISSING PERSON,B2,265,,2018-09-03 17:03:00,2018,9,Monday,17,Part Three,PERRIN ST,42.32188540,-71.07906279,"(42.32188540, -71.07906279)"
I182070870,03115,Investigate Person,INVESTIGATE PERSON,E18,493,,2018-09-03 15:51:00,2018,9,Monday,15,Part Three,LEXINGTON AVE,42.26255067,-71.11582205,"(42.26255067, -71.11582205)"
I182070868,00616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,,2018-09-03 06:15:00,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.33539970,-71.15025675,"(42.33539970, -71.15025675)"
I182070866,03807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,, ,,2018-09-03 16:09:10,2018,9,Monday,16,Part Three,,42.28768807,-71.09386923,"(42.28768807, -71.09386923)"
I182070865,00301,Robbery,ROBBERY - STREET,, ,,2018-09-03 15:54:00,2018,9,Monday,15,Part One,,42.31580852,-71.09829029,"(42.31580852, -71.09829029)"
I182070863,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,143,,2018-09-01 17:15:00,2018,9,Saturday,17,Part Two,RING RD,42.34813158,-71.08027002,"(42.34813158, -71.08027002)"
I182070862,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,603,,2018-09-03 15:29:00,2018,9,Monday,15,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182070861,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,642,,2018-09-03 16:00:00,2018,9,Monday,16,Part Three,CENTRE ST,42.31322316,-71.11409925,"(42.31322316, -71.11409925)"
I182070860,03114,Investigate Property,INVESTIGATE PROPERTY,C11,403,,2018-09-03 15:58:00,2018,9,Monday,15,Part Three,CROFTLAND AVE,42.28107109,-71.06925083,"(42.28107109, -71.06925083)"
I182070859,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,305,,2018-09-03 15:46:00,2018,9,Monday,15,Part Three,KENSINGTON ST,42.32062680,-71.09108856,"(42.32062680, -71.09108856)"
I182070858,02629,Harassment,HARASSMENT,E18,547,,2018-09-03 14:00:00,2018,9,Monday,14,Part Two,DEFOREST ST,42.26756280,-71.12974470,"(42.26756280, -71.12974470)"
I182070857,03201,Property Lost,PROPERTY - LOST,D4,145,,2018-08-22 14:00:00,2018,8,Wednesday,14,Part Three,HUNTINGTON AVE,42.34481182,-71.08234324,"(42.34481182, -71.08234324)"
I182070856,00613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-03 14:31:00,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
I182070855,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,288,,2018-09-03 15:14:00,2018,9,Monday,15,Part Three,ROXBURY ST,42.32960870,-71.08462109,"(42.32960870, -71.08462109)"
I182070854,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,257,,2018-09-03 15:27:00,2018,9,Monday,15,Part Two,EVERETT AVE,42.31526714,-71.06306870,"(42.31526714, -71.06306870)"
I182070852,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,706,,2018-09-02 12:30:00,2018,9,Sunday,12,Part Two,VERSHIRE ST,42.27169454,-71.14650799,"(42.27169454, -71.14650799)"
I182070851,03115,Investigate Person,INVESTIGATE PERSON,E18,957,,2018-09-03 14:39:00,2018,9,Monday,14,Part Three,CLIFFMONT ST,42.27668221,-71.12065268,"(42.27668221, -71.12065268)"
I182070850,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,498,,2018-09-03 14:48:00,2018,9,Monday,14,Part Three,CLARE AVE,42.27360053,-71.11897042,"(42.27360053, -71.11897042)"
I182070849,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,177,,2018-09-03 11:30:00,2018,9,Monday,11,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182070847,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,,2018-09-03 13:07:00,2018,9,Monday,13,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182070846,00613,Larceny,LARCENY SHOPLIFTING,C11,381,,2018-09-03 14:07:00,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)"
I182070844,00724,Auto Theft,AUTO THEFT,D4,154,,2018-09-03 15:01:00,2018,9,Monday,15,Part One,TREMONT ST,42.34112890,-71.07692951,"(42.34112890, -71.07692951)"
I182070843,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,84,,2018-09-03 14:23:00,2018,9,Monday,14,Part Three,HANOVER ST,42.36339154,-71.05488123,"(42.36339154, -71.05488123)"
I182070842,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,776,,2018-09-03 13:32:00,2018,9,Monday,13,Part Three,PRISCILLA RD,42.34488259,-71.15216614,"(42.34488259, -71.15216614)"
I182070841,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,777,,2018-08-20 12:00:00,2018,8,Monday,12,Part Two,SHEPARD ST,42.34600153,-71.15112006,"(42.34600153, -71.15112006)"
I182070840,02647,Other,THREATS TO DO BODILY HARM,A1,63,,2018-09-03 14:46:00,2018,9,Monday,14,Part Two,MARTHA RD,42.36580175,-71.06538257,"(42.36580175, -71.06538257)"
I182070839,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,, ,,2018-09-03 14:21:00,2018,9,Monday,14,Part Three,,42.34320836,-71.07850660,"(42.34320836, -71.07850660)"
I182070838,00613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.34797240,-71.07849582,"(42.34797240, -71.07849582)"
I182070837,03115,Investigate Person,INVESTIGATE PERSON,B3,449,,2018-09-03 13:56:00,2018,9,Monday,13,Part Three,WHITFIELD ST,42.29222130,-71.07467073,"(42.29222130, -71.07467073)"
I182070837,03301,Verbal Disputes,VERBAL DISPUTE,B3,449,,2018-09-03 13:56:00,2018,9,Monday,13,Part Three,WHITFIELD ST,42.29222130,-71.07467073,"(42.29222130, -71.07467073)"
I182070836,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,2018-09-03 14:02:00,2018,9,Monday,14,Part Three,,42.33892088,-71.10725211,"(42.33892088, -71.10725211)"
I182070835,03201,Property Lost,PROPERTY - LOST,A1,77,,2018-09-03 14:29:00,2018,9,Monday,14,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182070834,00617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,,2018-08-23 10:41:00,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)"
I182070833,02905,Violations,VAL - OPERATING WITHOUT LICENSE,D14,780,,2018-09-03 14:06:00,2018,9,Monday,14,Part Two,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)"
I182070833,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,D14,780,,2018-09-03 14:06:00,2018,9,Monday,14,Part Three,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)"
I182070832,03410,Towed,TOWED MOTOR VEHICLE,C6,229,,2018-09-03 13:18:00,2018,9,Monday,13,Part Three,E SIXTH ST,42.33298734,-71.04282382,"(42.33298734, -71.04282382)"
I182070831,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,619,,2018-09-03 14:17:00,2018,9,Monday,14,Part Two,SAINT STEPHEN ST,42.34272627,-71.08646352,"(42.34272627, -71.08646352)"
I182070830,02647,Other,THREATS TO DO BODILY HARM,B2,294,,2018-09-03 13:25:00,2018,9,Monday,13,Part Two,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
I182070829,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,B2,325,,2018-09-03 13:45:00,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)"
I182070829,01842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,325,,2018-09-03 13:45:00,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)"
I182070828,00613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 10:00:00,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.34797240,-71.07849582,"(42.34797240, -71.07849582)"
I182070827,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,79,,2018-09-03 13:28:00,2018,9,Monday,13,Part Three,ENDICOTT ST,42.36588028,-71.05740251,"(42.36588028, -71.05740251)"
I182070826,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,462,,2018-09-03 14:11:00,2018,9,Monday,14,Part Three,ROSSETER ST,42.30376511,-71.07484027,"(42.30376511, -71.07484027)"
I182070825,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,398,,2018-09-03 02:36:00,2018,9,Monday,2,Part Three,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
I182070824,03114,Investigate Property,INVESTIGATE PROPERTY,B2,237,,2018-09-03 13:31:00,2018,9,Monday,13,Part Three,CAWFIELD ST,42.31993148,-71.06368978,"(42.31993148, -71.06368978)"
I182070823,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,330,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,BLUE HILL AVE,42.30782140,-71.08354076,"(42.30782140, -71.08354076)"
I182070822,01402,Vandalism,VANDALISM,C6,231,,2018-09-03 13:44:00,2018,9,Monday,13,Part Two,E SEVENTH ST,42.33238533,-71.03016099,"(42.33238533, -71.03016099)"
I182070820,01806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,, ,,2018-09-03 13:18:00,2018,9,Monday,13,Part Two,,42.31224532,-71.07317861,"(42.31224532, -71.07317861)"
I182070819,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-09-03 13:14:00,2018,9,Monday,13,Part Two,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)"
I182070818,01844,Drug Violation,DRUGS - POSS CLASS C,A1,119,,2018-09-03 12:46:00,2018,9,Monday,12,Part Two,BEACON ST,42.35678442,-71.06670845,"(42.35678442, -71.06670845)"
I182070817,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,788,,2018-08-31 12:00:00,2018,8,Friday,12,Part Three,SUTHERLAND RD,42.34023408,-71.14800614,"(42.34023408, -71.14800614)"
I182070816,03301,Verbal Disputes,VERBAL DISPUTE,C6,185,,2018-09-03 12:45:00,2018,9,Monday,12,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070816,00619,Larceny,LARCENY ALL OTHERS,C6,185,,2018-09-03 12:45:00,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070815,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,,2018-09-03 12:40:00,2018,9,Monday,12,Part One,CENTRE ST,42.32259354,-71.10619643,"(42.32259354, -71.10619643)"
I182070813,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,,2018-09-03 03:00:00,2018,9,Monday,3,Part One,PETERBOROUGH ST,42.34280177,-71.10069510,"(42.34280177, -71.10069510)"
I182070812,03115,Investigate Person,INVESTIGATE PERSON,E18,525,,2018-09-03 12:00:00,2018,9,Monday,12,Part Three,WOLCOTT ST,42.23797683,-71.13000944,"(42.23797683, -71.13000944)"
I182070811,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,12,,2018-09-03 11:49:00,2018,9,Monday,11,Part Three,BENNINGTON ST,42.38512136,-71.01150101,"(42.38512136, -71.01150101)"
I182070809,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,605,,2018-09-03 12:37:00,2018,9,Monday,12,Part Three,FISHER AVE,42.33061023,-71.10853621,"(42.33061023, -71.10853621)"
I182070808,03205,License Plate Related Incidents,M/V PLATES - LOST,B2,297,,2018-09-03 09:40:00,2018,9,Monday,9,Part Three,KENSINGTON PARK,42.32171349,-71.08260822,"(42.32171349, -71.08260822)"
I182070807,02647,Other,THREATS TO DO BODILY HARM,E5,748,,2018-09-03 12:01:00,2018,9,Monday,12,Part Two,KEANE RD,42.29476186,-71.16239270,"(42.29476186, -71.16239270)"
I182070806,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,361,,2018-09-03 12:23:00,2018,9,Monday,12,Part One,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
I182070806,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,361,,2018-09-03 12:23:00,2018,9,Monday,12,Part Two,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
I182070805,00616,Larceny,LARCENY THEFT OF BICYCLE,E5,564,,2018-09-02 21:51:00,2018,9,Sunday,21,Part One,ARCHDALE RD,42.29277202,-71.12138967,"(42.29277202, -71.12138967)"
I182070804,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,756,,2018-09-03 11:00:00,2018,9,Monday,11,Part One,CHAMPNEY ST,42.35241230,-71.16878833,"(42.35241230, -71.16878833)"
I182070803,01402,Vandalism,VANDALISM,B3,463,,2018-08-17 12:10:00,2018,8,Friday,12,Part Two,BLUE HILL AVE,42.29216506,-71.08896989,"(42.29216506, -71.08896989)"
I182070802,03001,Medical Assistance,DEATH INVESTIGATION,A15,56,,2018-09-03 11:49:00,2018,9,Monday,11,Part Three,HIGH ST,42.37604137,-71.06211228,"(42.37604137, -71.06211228)"
I182070801,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,326,,2018-09-02 19:30:00,2018,9,Sunday,19,Part Three,LAWRENCE AVE,42.31161123,-71.07625600,"(42.31161123, -71.07625600)"
I182070800,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,325,,2018-09-03 11:14:00,2018,9,Monday,11,Part Two,BEAUFORD LN,42.31620533,-71.07609249,"(42.31620533, -71.07609249)"
I182070799,03410,Towed,TOWED MOTOR VEHICLE,, ,,2018-09-03 11:55:00,2018,9,Monday,11,Part Three,CHELSEA,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
